part_id,description,variant,size,quantity,unit,unit_cost_usd,extended_cost_usd,critical,notes
DOMEBLANK-PADAUK-T,"Padauk dome glue-up blank, 13x13 in, 1.5 in thick (3 plies x 0.5)",V2+V4,Travel 12in,1,each,75.00,75.00,Y,"3D-surface 0.5 in dome rise on CNC; +2.5% tongue length correction"
DOMEBLANK-PADAUK-S,"Padauk dome glue-up blank, 17x17 in, 1.5 in thick (3 plies x 0.5)",V2+V4,Standard 16in,1,each,125.00,125.00,Y,"3D-surface 0.75 in dome rise on CNC; +2.5% tongue length correction"
DOMEBLANK-PADAUK-F,"Padauk dome glue-up blank, 21x21 in, 1.5 in thick (3 plies x 0.5)",V2+V4,Floor Pouf 20in,1,each,180.00,180.00,Y,"3D-surface 1 in dome rise on CNC; +2.5% tongue length correction"
DOMEBLANK-POPLAR-S,"Poplar dome blank for prototype validation, 17x17 in, 1.5 in",V2+V4 proto,Standard 16in,1,each,32.00,32.00,N,"Cheap test blank to dial in dome surfacing before Padauk"
GUE-TITEBOND3,"Titebond III wood glue, 16oz",All,All,2,bottle,18.00,36.00,Y,"Waterproof; 4000 psi shear. Rated for tongue-drum service."
RABBET-BIT-RBR,"Rabbeting router bit set with bearing kit, 1/4 in shank",V1+V3 build,All,1,set,42.00,42.00,N,"For shell rim rabbet. One-time tooling buy."
SLIT-BIT-UPCUT-1-8,"Solid carbide upcut spiral bit, 1/8 in, 1/4 in shank",All,All,3,each,16.00,48.00,Y,"For tongue slits. Buy 3 (one breaks per shell). 1/4 in shank for CNC router collet."
BALLEND-3-4,"Ball-end mill, 3/4 in, 1/2 in shank",V2+V4,All,1,each,38.00,38.00,Y,"For dome 3D-surfacing on CNC"
GU-STEPBIT-3,"Step drill bit, 1/4 to 3 in, 1/4 in increments",All,All,1,each,28.00,28.00,Y,"For incremental gu-port enlargement during Helmholtz tuning"
ORING-RUBBER-25,"Rubber O-ring, 2.5 in ID, 1/8 in cross-section",V1+V3,Standard 16in,1,each,2.50,2.50,N,"Optional gu-port lining for cleaner tone (Hapi-style)"
ORING-RUBBER-30,"Rubber O-ring, 3 in ID, 1/8 in cross-section",V1+V3,Floor Pouf 20in,1,each,3.00,3.00,N,"Optional gu-port lining"
ORING-RUBBER-20,"Rubber O-ring, 2 in ID, 1/8 in cross-section",V1+V3,Travel 12in,1,each,2.00,2.00,N,"Optional gu-port lining"
FELT-FOOT-PADS,"Adhesive felt floor-protection pads, 1 in dia",All,All,4,each,0.50,2.00,N,"Mount under bowl/cylinder bottom edge"
HANDLE-ROPE-S,"Hemp rope, 0.5 in, for carry handle",All,Standard 16in+,4,ft,2.50,10.00,N,"Pass through two 0.5 in holes drilled in bowl side; knot inside"
FINISH-DANISH-OIL,"Watco Danish Oil, natural, qt",All,All,1,each,28.00,28.00,N,"3 coats, 24h between"
FINISH-WAX-CARNAUBA,"Renaissance Wax, 65ml",All,All,1,each,18.00,18.00,N,"Final coat on shell exterior"
SANDPAPER-SET,"Sandpaper assortment 80/120/220/320/400/600 grit",All,All,1,set,32.00,32.00,N,""
TUNER-KORG-OT120,"Korg OT-120 wide-range tuner",All,All,1,each,180.00,180.00,N,"Shop tool. Already owned in Tony's shop. Listed for cost transparency."
MALLET-SET,"Tongue drum mallets, soft rubber heads, pair",All,All,1,set,18.00,18.00,N,"Player accessory, included with finished drum"
